PartNumber,Category,Description, Price 
LIC-ENT-10YR,Wireless,"Meraki MR Enterprise License, 10YR", 900.00 
MA-INJ-4-US,Accessories,Meraki MR 802.3at PoE Injector (US Plug), 149.00 
MA-INJ-4-EU,Accessories,Meraki MR 802.3at PoE Injector (EU Plug), 149.00 
MA-INJ-4-UK,Accessories,Meraki MR 802.3at PoE Injector (UK Plug), 149.00 
MA-INJ-4-AU,Accessories,Meraki MR 802.3at PoE Injector (AU Plug), 149.00 
MA-INJ-5-US,Accessories,Meraki Multigigabit 802.3at PoE Injector (US Plug), 399.00 
MA-INJ-5-EU,Accessories,Meraki Multigigabit 802.3at PoE Injector (EU Plug), 399.00 
MA-INJ-5-UK,Accessories,Meraki Multigigabit 802.3at PoE Injector (UK Plug), 399.00 
MA-INJ-5-AU,Accessories,Meraki Multigigabit 802.3at PoE Injector (AU Plug), 399.00 
MA-PWR-30W-US,Accessories,Meraki AC Adapter for MR Wireless Access Points (US Plug), 29.00 
MA-PWR-30W-EU,Accessories,Meraki AC Adapter for MR Wireless Access Points (EU Plug), 29.00 
MA-PWR-30W-UK,Accessories,Meraki AC Adapter for MR Wireless Access Points (UK Plug), 29.00 
MA-PWR-30W-AU,Accessories,Meraki AC Adapter for MR Wireless Access Points (AU Plug), 29.00 
MA-ANT-20,Accessories,Meraki Dual-band Omni Antennas, 199.00 
MA-ANT-21,Accessories,Meraki 5GHz Sector Antenna, 349.00 
MA-ANT-23,Accessories,Meraki 2.4GHz Sector Antenna, 349.00 
MA-ANT-25,Accessories,Meraki Dual Band Patch Antenna, 349.00 
MA-ANT-27,Accessories,Meraki Dual Band Sector Antenna, 349.00 
MA-STND-1,Accessories,Meraki Z3 Vertical Desktop Stand, 45.00 
MA-PWR-50WAC,Accessories,Meraki Z3 Replacement Power Adapter (50 WAC), 100.00 
