PartNumber,Category,Description, Price 
LIC-MS350-24P-3YR,Switches,"Meraki MS350-24P Enterprise License and Support, 3YR", 760.00 
LIC-MS350-24P-5YR,Switches,"Meraki MS350-24P Enterprise License and Support, 5YR"," 1,140.00 "
LIC-MS350-24P-7YR,Switches,"Meraki MS350-24P Enterprise License and Support, 7YR"," 1,520.00 "
LIC-MS350-24P-10YR,Switches,"Meraki MS350-24P Enterprise License and Support, 10YR"," 1,900.00 "
LIC-MS350-24X-1YR,Switches,"Meraki MS350-24X Enterprise License and Support, 1YR", 450.00 
LIC-MS350-24X-3YR,Switches,"Meraki MS350-24X Enterprise License and Support, 3YR", 900.00 
LIC-MS350-24X-5YR,Switches,"Meraki MS350-24X Enterprise License and Support, 5YR"," 1,350.00 "
LIC-MS350-24X-7YR,Switches,"Meraki MS350-24X Enterprise License and Support, 7YR"," 1,800.00 "
LIC-MS350-24X-10YR,Switches,"Meraki MS350-24X Enterprise License and Support, 10YR"," 2,175.00 "
LIC-MS350-48-1YR,Switches,"Meraki MS350-48 Enterprise License and Support, 1YR", 540.00 
LIC-MS350-48-3YR,Switches,"Meraki MS350-48 Enterprise License and Support, 3YR"," 1,080.00 "
LIC-MS350-48-5YR,Switches,"Meraki MS350-48 Enterprise License and Support, 5YR"," 1,620.00 "
LIC-MS350-48-7YR,Switches,"Meraki MS350-48 Enterprise License and Support, 7YR"," 2,160.00 "
LIC-MS350-48-10YR,Switches,"Meraki MS350-48 Enterprise License and Support, 10YR"," 2,700.00 "
LIC-MS350-48LP-1YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 1YR", 630.00 
LIC-MS350-48LP-3YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 3YR"," 1,255.00 "
LIC-MS350-48LP-5YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 5YR"," 1,880.00 "
LIC-MS350-48LP-7YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 7YR"," 2,510.00 "
LIC-MS350-48LP-10Y,Switches,"Meraki MS350-48LP Enterprise License and Support, 10YR"," 3,135.00 "
LIC-MS350-48FP-1YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 1YR", 685.00 
LIC-MS350-48FP-3YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 3YR"," 1,370.00 "
LIC-MS350-48FP-5YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 5YR"," 2,055.00 "
LIC-MS350-48FP-7YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 7YR"," 2,740.00 "
LIC-MS350-48FP-10Y,Switches,"Meraki MS350-48FP Enterprise License and Support, 10YR"," 3,420.00 "
LIC-MS410-16-1YR,Switches,"Meraki MS410-16 Enterprise License and Support, 1YR", 500.00 
